"","title","author","subject","abstract","meta"
"37","Born's rule from epistemic assumptions","Per Östborn","Quantum Physics (quant-ph)","Born's rule is the recipe for calculating probabilities from quantum mechanical amplitudes. There is no generally accepted derivation of Born's rule from first principles. In this paper, it is motivated from assumptions that link the ontological content of a proper physical model to the epistemic conditions of the experimental context. More precisely, it is assumed that all knowable distinctions should correspond to distinctions in a proper model. This principle of ""ontological completeness"" means, for example, that the probabilistic treatment of the double slit experiment with and without path information should differ. Further, it is assumed that the model should rely only on knowable ontological elements, and that failure to fulfill this principle of ""ontological minimalism"" gives rise to wrong predictions. Consequently, probabilities should be assigned only to observable experimental outcomes. Also, the method to calculate such probabilities should not rely on the existence of a precise path of the observed object if this path is not knowable. A similar principle was promoted by Born, even though he did not apply it to probability. Another crucial assumption is that the proper rule to calculate probabilities should be generally valid. It should be applicable in all experimental contexts, regardless the setup that determines which attributes of the studied object are observed, together with the probability to observe each of the associated attribute values. There is no need to refer to the Hilbert space structure of quantum mechanics in the present treatment. Rather, some elements of this structure emerge from the analysis.","Mon, 26 Feb 2024 23:03:37 UTC (112 KB)"
"38","New Prospects for a Causally Local Formulation of Quantum Theory","Jacob A. Barandes","Quantum Physics (quant-ph)","It is difficult to extract reliable criteria for causal locality from the limited ingredients found in textbook quantum theory. In the end, Bell humbly warned that his eponymous theorem was based on criteria that ""should be viewed with the utmost suspicion."" Remarkably, by stepping outside the wave-function paradigm, one can reformulate quantum theory in terms of old-fashioned configuration spaces together with 'unistochastic' laws. These unistochastic laws take the form of directed conditional probabilities, which turn out to provide a hospitable foundation for encoding microphysical causal relationships. This unistochastic reformulation provides quantum theory with a simpler and more transparent axiomatic foundation, plausibly resolves the measurement problem, and deflates various exotic claims about superposition, interference, and entanglement. Making use of this reformulation, this paper introduces a new principle of causal locality that is intended to improve on Bell's criteria, and shows directly that systems that remain at spacelike separation cannot exert causal influences on each other, according to that new principle. These results therefore lead to a general hidden-variables interpretation of quantum theory that is arguably compatible with causal locality.","Mon, 26 Feb 2024 18:19:51 UTC (73 KB)"
"39","Whose Projection Postulate?","Anthony Sudbery","Quantum Physics (quant-ph)","The projection postulate is a description of the effect on a quantum system, assumed to be in a pure state, of a measurement of an observable with a discrete spectrum, in nonrelativistic quantum mechanics. It is often called ""von Neumann's projection postulate"" or ""the Lüders rule"". This paper is an examination of the versions of this postulate due to Dirac, von Neumann and Lüders. It is shown that Dirac, in 1930, proposed what is now generally known as the projection postulate. Von Neumann, in 1932, gave a different theory which only applies in special and rather unusual cases. Lüders, in 1951, rejected this theory and presented one which is the same as Dirac's. Treatments of observables with continuous spectra by both Dirac and von Neumann are criticised, and the possibility of a generalised version of the projection postulate for this case is considered. The paper concludes with a discussion of the status of the projection postulate (in its various forms) as a separate postulate (independent of the other postulates of quantum mechanics) and as a separate form of time development (in addition to the time-dependent Schrödinger equation).","Fri, 23 Feb 2024 12:06:39 UTC (12 KB)[v2] Tue, 5 Mar 2024 20:33:00 UTC (12 KB)"
"40","Pre-Chirp-Domain Index Modulation for Affine Frequency Division Multiplexing","Guangyao Liu, Tianqi Mao, Ruiqi Liu, Zhenyu Xiao","Information Theory (cs.IT)","Affine frequency division multiplexing (AFDM), tailored as a novel multicarrier technique utilizing chirp signals for high-mobility communications, exhibits marked advantages compared to traditional orthogonal frequency division multiplexing (OFDM). AFDM is based on the discrete affine Fourier transform (DAFT) with two modifiable parameters of the chirp signals, termed as the pre-chirp parameter and post-chirp parameter, respectively. These parameters can be fine-tuned to avoid overlapping channel paths with different delays or Doppler shifts, leading to performance enhancement especially for doubly dispersive channel. In this paper, we propose a novel AFDM structure with the pre-chirp index modulation (PIM) philosophy (AFDM-PIM), which can embed additional information bits into the pre-chirp parameter design for both spectral and energy efficiency enhancement. Specifically, we first demonstrate that the application of distinct pre-chirp parameters to various subcarriers in the AFDM modulation process maintains the orthogonality among these subcarriers. Then, different pre-chirp parameters are flexibly assigned to each AFDM subcarrier according to the incoming bits. By such arrangement, aside from classical phase/amplitude modulation, extra binary bits can be implicitly conveyed by the indices of selected pre-chirping parameters realizations without additional energy consumption. At the receiver, both a maximum likelihood (ML) detector and a reduced-complexity ML-minimum mean square error (ML-MMSE) detector are employed to recover the information bits. It has been shown via simulations that the proposed AFDM-PIM exhibits superior bit error rate (BER) performance compared to classical AFDM, OFDM and IM-aided OFDM algorithms.","Fri, 23 Feb 2024 08:32:50 UTC (384 KB)"
"41","The Dual Dynamical Foundation of Orthodox Quantum Mechanics","Diana Taschetto, Ricardo Correa da Silva","History and Philosophy of Physics (physics.hist-ph)","This paper combines mathematical, philosophical, and historical analyses in a comprehensive investigation of the dynamical foundations of the formalism of orthodox quantum mechanics. The results obtained include: (i) A deduction of the canonical commutation relations (CCR) from the tenets of Matrix Mechanics; (ii) A discussion of the meaning of Schrödinger's first derivation of the wave equation that not only improves on Joas and Lehner's 2009 investigation on the subject but also demonstrates that the CCR follow of necessity from Schrödinger's first derivation of the wave equation, thus correcting the common misconception that the CCR were only posited by Schrödinger to pursue equivalence with Matrix Mechanics; (iii) A discussion of the mathematical facts and requirements involved in the equivalence of Matrix and Wave Mechanics that improves on F. A. Muller's classical treatment of the subject; (iv) A proof that the equivalence of Matrix and Wave Mechanics is necessitated by the formal requirements of a dual action functional from which both the dynamical postulates of orthodox quantum mechanics, von Neumann's process 1 and process 2, follow; (v) A critical assessment, based on (iii) and (iv), of von Neumann's construction of unified quantum mechanics over Hilbert space. Point (iv) is our main result. It brings to the open the important, but hitherto ignored, fact that orthodox quantum mechanics is no exception to the golden rule of physics that the dynamics of a physical theory must follow from the action functional. If orthodox quantum mechanics, based as it is on the assumption of the equivalence of Matrix and Wave Mechanics, has this ""peculiar dual dynamics,"" as von Neumann called it, this is so because by assuming the equivalence one has been assuming a peculiar dual action.","Fri, 23 Feb 2024 00:10:53 UTC (48 KB)"
"42","The Spectrum of He$^+$ as a Proving Ground for Bohr's Model of the Atom: A Legacy of Williamina Fleming's Astrophysical Discovery","Maria McEachern, Bretislav Friedrich","Atomic Physics (physics.atom-ph)","In 1896, Edward Charles Pickering (1846-1919), Director of the Harvard College Observatory (HCO), reported in a trio of publications the observation of ""peculiar spectra"" of the southern star $\zeta$ Puppis, which he attributed to an ""element not yet found in other stars or on earth."" Supported by laboratory spectra obtained by Alfred Fowler (1868-1940), Niels Bohr (1885-1962) showed in 1913 that this ""element"" was in fact ionized helium, He$^+$. Its spectrum has become known as the Pickering Series, even though Pickering credited Williamina Fleming (1857-1911) for the discovery. Fleming was one of HCO's ""computers"" and the future Curator of the Astronomical Photographic Glass Plate Collection. The series of spectral lines associated with Pickering's name played a unique role on the path to quantum mechanics by serving as a proving ground for Bohr's model of the atom. Our examination of the discovery of the Pickering series relied on the records held at the Center for Astrophysics $\vert$ Harvard \& Smithsonian (the successor institution to HCO), especially the Notebooks and Diaries of Williamina Fleming and others as well as on the Center's Glass Plate Collection. Glimpses of the ""peculiar sociology"" of a research institution, half of whose staff were women employed on grossly unequal terms with men, are given in the course of the narrative.","Thu, 22 Feb 2024 17:47:00 UTC (12,423 KB)"
"43","On Gibbs Equilibrium and Hillert Nonequilibrium Thermodynamics","Zi-Kui Liu","Statistical Mechanics (cond-mat.stat-mech)","During his time at Royal Institute of Technology (Kungliga Tekniska Hogskolan, KTH) in Sweden, the present author learned nonequilibrium thermodynamics from Mats Hillert. The key concept is the separation of internal and external variables of a system. In equilibrium thermodynamics derived by Gibbs, the internal variables are not independent and can be fully evaluated from given external variables. While irreversible thermodynamics led by Onsager focuses on internal variables though often mixed with external variables. Hillert integrated them together by first emphasizing their differences and then examining their connections. His philosophy was reflected by the title of his book ""Phase Equilibria, Phase Diagrams and Phase Transformations"" that puts equilibrium, nonequilibrium, and internal processes on equal footing. In the present paper honoring Hillert, the present author reflects his experiences with Hillert in last 35 years and expresses his gratitude for all the wisdom and support from him in terms of ""Hillert nonequilibrium thermodynamics"" and discusses some recent topics that the present author has been working on.","Thu, 22 Feb 2024 02:23:13 UTC (2,296 KB)"
"44","Betting on what is neither verifiable nor falsifiable","Abhimanyu Pallavi Sudhir, Long Tran-Thanh","Computer Science and Game Theory (cs.GT)","Prediction markets are useful for estimating probabilities of claims whose truth will be revealed at some fixed time -- this includes questions about the values of real-world events (i.e. statistical uncertainty), and questions about the values of primitive recursive functions (i.e. logical or algorithmic uncertainty). However, they cannot be directly applied to questions without a fixed resolution criterion, and real-world applications of prediction markets to such questions often amount to predicting not whether a sentence is true, but whether it will be proven. Such questions could be represented by countable unions or intersections of more basic events, or as First-Order-Logic sentences on the Arithmetical Hierarchy (or even beyond FOL, as hyperarithmetical sentences). In this paper, we propose an approach to betting on such events via options, or equivalently as bets on the outcome of a ""verification-falsification game"". Our work thus acts as an alternative to the existing framework of Garrabrant induction for logical uncertainty, and relates to the stance known as constructivism in the philosophy of mathematics; furthermore it has broader implications for philosophy and mathematical logic.","Mon, 29 Jan 2024 17:30:34 UTC (32 KB)"
"45","The dynamics of neural codes in biological and artificial neural networks","Guillermo B. Morales","Neurons and Cognition (q-bio.NC)","Advancing our knowledge of how the brain processes information remains a key challenge in neuroscience. This thesis combines three different approaches to the study of the dynamics of neural networks and their encoding representations: a computational approach, that builds upon basic biological features of neurons and their networks to construct effective models that can simulate their structure and dynamics; a machine-learning approach, which draws a parallel with the functional capabilities of brain networks, allowing us to infer the dynamical and encoding properties required to solve certain input-processing tasks; and a final, theoretical treatment, which will take us into the fascinating hypothesis of the ""critical"" brain as the mathematical foundation that can explain the emergent collective properties arising from the interactions of millions of neurons. Hand in hand with physics, we venture into the realm of neuroscience to explain the existence of quasi-universal scaling properties across brain regions, setting out to quantify the distance of their dynamics from a critical point. Next, we move into the grounds of artificial intelligence, where the very same theory of critical phenomena will prove very useful for explaining the effects of biologically-inspired plasticity rules in the forecasting ability of Reservoir Computers. Halfway into our journey, we explore the concept of neural representations of external stimuli, unveiling a surprising link between the dynamical regime of neural networks and the optimal topological properties of such representation manifolds. The thesis ends with the singular problem of representational drift in the process of odor encoding carried out by the olfactory cortex, uncovering the potential synaptic plasticity mechanisms that could explain this recently observed phenomenon.","Tue, 20 Feb 2024 08:10:16 UTC (82,121 KB)"
"46","Making Sense of Gravitational Thermodynamics","Lorenzo Lorenzetti","History and Philosophy of Physics (physics.hist-ph)","The use of statistical methods to model gravitational systems is crucial to physics practice, but the extent to which thermodynamics and statistical mechanics genuinely apply to these systems is a contentious issue. This paper provides new conceptual foundations for gravitational thermodynamics by reconsidering the nature of key concepts like equilibrium and advancing a novel way of understanding thermodynamics. The challenges arise from the peculiar characteristics of the gravitational potential, leading to non-extensive energy and entropy, negative heat capacity, and a lack of standard equilibrium. Hence it has been claimed that only non-equilibrium statistical mechanics is warranted in this domain, whereas thermodynamics is inapplicable. We argue instead that equilibrium statistical mechanics applies to self-gravitating systems at the relevant scale, as they display equilibrium in the form of metastable quasi-equilibrium states. We then develop a minimal framework for thermodynamics that can be applied to these systems and beyond. Thermodynamics applies in the sense that we can devise macroscopic descriptions and explanations of the behaviour of these systems in terms of coarse-grained quantities within equilibrium statistical mechanics.","Sun, 18 Feb 2024 17:40:11 UTC (207 KB)"
"47","Causal Equal Protection as Algorithmic Fairness","Marcello Di Bello, Nicolò Cangiotti, Michele Loi","Computers and Society (cs.CY)","Over the last ten years the literature in computer science and philosophy has formulated different criteria of algorithmic fairness. One of the most discussed, classification parity, requires that the erroneous classifications of a predictive algorithm occur with equal frequency for groups picked out by protected characteristics. Despite its intuitive appeal, classification parity has come under attack. Multiple scenarios can be imagined in which - intuitively - a predictive algorithm does not treat any individual unfairly, and yet classification parity is violated. To make progress, we turn to a related principle, equal protection, originally developed in the context of criminal justice. Key to equal protection is equalizing the risks of erroneous classifications (in a sense to be specified) as opposed to equalizing the rates of erroneous classifications. We show that equal protection avoids many of the counterexamples to classification parity, but also fails to model our moral intuitions in a number of common scenarios, for example, when the predictor is causally downstream relative to the protected characteristic. To address these difficulties, we defend a novel principle, causal equal protection, that models the fair allocation of the risks of erroneous classification through the lenses of causality.","Mon, 19 Feb 2024 11:30:00 UTC (231 KB)[v2] Tue, 20 Feb 2024 22:53:23 UTC (231 KB)"
"48","Learning to Edit: Aligning LLMs with Knowledge Editing","Yuxin Jiang, Yufei Wang, Chuhan Wu, Wanjun Zhong, Xingshan Zeng, Jiahui Gao, Liangyou Li, Xin Jiang, Lifeng Shang, Ruiming Tang, Qun Liu, Wei Wang","Computation and Language (cs.CL)","Knowledge editing techniques, aiming to efficiently modify a minor proportion of knowledge in large language models (LLMs) without negatively impacting performance across other inputs, have garnered widespread attention. However, existing methods predominantly rely on memorizing the updated knowledge, impeding LLMs from effectively combining the new knowledge with their inherent knowledge when answering questions. To this end, we propose a Learning to Edit (LTE) framework, focusing on teaching LLMs to apply updated knowledge into input questions, inspired by the philosophy of ""Teach a man to fish."" LTE features a two-phase process: (i) the Alignment Phase, which fine-tunes LLMs on a meticulously curated parallel dataset to make reliable, in-scope edits while preserving out-of-scope information and linguistic proficiency; and (ii) the Inference Phase, which employs a retrieval-based mechanism for real-time and mass knowledge editing. By comparing our approach with seven advanced baselines across four popular knowledge editing benchmarks and two LLM architectures, we demonstrate LTE's superiority in knowledge editing performance, robustness in both batch and sequential editing, minimal interference on general tasks, and rapid editing speeds. The data and code are available at this https URL.","Mon, 19 Feb 2024 07:45:17 UTC (545 KB)"
"49","C. V. Vishveshwara (Vishu) On The Black Hole Trek","Naresh Dadhich, K Rajesh Nayak","General Relativity and Quantum Cosmology (gr-qc)","With his seminal and pioneering work on the stability of the Schwarzschild black hole and its interaction with gravitational radiation, Vishu had opened a new window on black hole astrophysics. One of the interesting results that soon followed was that ""a black hole has no hair"", it is entirely specified by the three parameters, mass, spin and charge, and nothing more. The discovery of gravitational waves in 2016 produced by merger of two black holes, and observed by the Ligo-Virgo collaboration, carried the definitive signature of quasi-normal modes, the phenomenon of black hole ringdown, exactly what Vishu had predicted in his 1970 Nature paper~(See Isaacson's commentary) 46 years ago. This was the crowning glory.","Sun, 18 Feb 2024 08:25:56 UTC (5,916 KB)"
"50","A review of 70 years with astrometry","Erik Høg","Instrumentation and Methods for Astrophysics (astro-ph.IM)","In 1953 I heard of an experiment in 1925 by Bengt Strömgren where he observed transit times with the meridian circle at the Copenhagen University Observatory measuring the current in a photocell behind slits when a star was crossing. In 1954 just 22 years old I was given the task as a student to make first test observations with a new meridian circle of the observatory. I became fascinated by the instrument and by the importance of astrometry for astronomy. Work at four meridian circles, two in Denmark, one in Hamburg, one in Lund, and Pierre Lacroute's vision of space astrometry in France had by 1973 created the foundation for development of the Hipparcos satellite, and Gaia followed. In 2013 I proposed a successor satellite which has gained momentum especially thanks to the efforts of David Hobbs and it has a good chance to be launched by ESA about 2045. But 70 years ago, optical astrometry was considered a dying branch of astronomy, unattractive compared with astrophysics. The following growth built on the still active interest in astrometry in Europe in those years and it was supported by ESA, the European Space Agency. This review is only about astrometry where I was personally involved.","Fri, 16 Feb 2024 15:10:43 UTC (2,280 KB)"
"51","""Understanding AI"": Semantic Grounding in Large Language Models","Holger Lyre","Computation and Language (cs.CL)","Do LLMs understand the meaning of the texts they generate? Do they possess a semantic grounding? And how could we understand whether and what they understand? I start the paper with the observation that we have recently witnessed a generative turn in AI, since generative models, including LLMs, are key for self-supervised learning. To assess the question of semantic grounding, I distinguish and discuss five methodological ways. The most promising way is to apply core assumptions of theories of meaning in philosophy of mind and language to LLMs. Grounding proves to be a gradual affair with a three-dimensional distinction between functional, social and causal grounding. LLMs show basic evidence in all three dimensions. A strong argument is that LLMs develop world models. Hence, LLMs are neither stochastic parrots nor semantic zombies, but already understand the language they generate, at least in an elementary sense.","Fri, 16 Feb 2024 14:23:55 UTC (151 KB)"
"52","The Evenki accounts of the 1908 Tunguska event collected in 1920s-1930s","Andrei Ol'khovatov","History and Philosophy of Physics (physics.hist-ph)","This paper is a continuation of a series of works, devoted to various aspects of the 1908 Tunguska event. It is devoted to the Evenki accounts of the 1908 Tunguska event collected in 1920s - 1930s. It is important to research accounts of Evenki who were rather close to the epicenter. The Evenki accounts are important also, because Evenki are natural hunters and pathfinders - their lives depend on their memory and vision. Most of the reviewed in this work accounts were collected at the Evenki conference, when telling a lie was considered to be a serious misconduct. These Evenki accounts are compared with other Tunguska accounts. Also weather conditions associated with the Tunguska event are considered. Some manifestations of the Tunguska event are discussed.","Mon, 18 Dec 2023 10:07:57 UTC (1,624 KB)"
"53","Identification is Pointless: Quantum Reference Frames, Localisation of Events, and the Quantum Hole Argument","Viktoria Kabel, Anne-Catherine de la Hamette, Luca Apadula, Carlo Cepollaro, Henrique Gomes, Jeremy Butterfield, Časlav Brukner","Quantum Physics (quant-ph)","The study of quantum reference frames (QRFs) is motivated by the idea of taking into account the quantum properties of the reference frames that we use, explicitly or implicitly, in our description of physical systems. Like a classical reference frame, a QRF can be used to define physical quantities such as time, position, momentum, and spin relationally. Unlike its classical analogue, it relativises the notions of superposition and entanglement. Here, we provide a novel explanation for the frame-dependence of superposition and entanglement by tracing it back to the question of how configurations or locations are identified across different branches in superposition. We show that, in the presence of symmetries, whether a system is in 'the same' or 'different' configurations across the branches depends on the choice of QRF. Thus, sameness and difference-and, as a result, superposition and entanglement-lose their absolute meaning. We apply these ideas to semi-classical spacetimes in superposition and use coincidences of four scalar fields to construct a comparison map between the spacetime points in the different branches. This allows us to determine whether a given event is located at 'the same' or 'different' points in the superposed spacetimes. Since this feature depends on the choice of QRF, we argue that the localisation of an event should not be seen as an inherent property. This alleviates previously voiced concerns that QRF changes could have empirical consequences for interference experiments, such as the BMV proposal. Moreover, it implies that the number of events is equal in both the flat and the curved spacetime implementations of indefinite causal order. We conclude with the 'quantum hole argument' as a generalisation of Einstein's hole argument, arguing that not just spacetime points but also their identification across a superposition lose their absolute physical meaning.","Thu, 15 Feb 2024 19:00:01 UTC (1,015 KB)"
"54","Text-Based Product Matching -- Semi-Supervised Clustering Approach","Alicja Martinek, Szymon Łukasik, Amir H. Gandomi","Databases (cs.DB)","Matching identical products present in multiple product feeds constitutes a crucial element of many tasks of e-commerce, such as comparing product offerings, dynamic price optimization, and selecting the assortment personalized for the client. It corresponds to the well-known machine learning task of entity matching, with its own specificity, like omnipresent unstructured data or inaccurate and inconsistent product descriptions. This paper aims to present a new philosophy to product matching utilizing a semi-supervised clustering approach. We study the properties of this method by experimenting with the IDEC algorithm on the real-world dataset using predominantly textual features and fuzzy string matching, with more standard approaches as a point of reference. Encouraging results show that unsupervised matching, enriched with a small annotated sample of product links, could be a possible alternative to the dominant supervised strategy, requiring extensive manual data labeling.","Thu, 1 Feb 2024 18:52:26 UTC (1,664 KB)"
"55","History of Lattice Field Theory from a Statistical Perspective","Wolfgang Bietenholz","High Energy Physics - Lattice (hep-lat)","Researchers working in lattice field theory constitute an established community since the early 1990s, and around the same time the online open-access e-print repository arXiv was created. The fact that this field has a specific arXiv section, hep-lat, which is comprehensively used, provides a unique opportunity for a statistical study of its evolution over the last three decades. We present data for the number of entries, $E$, published papers, $P$, and citations, $C$, in total and separated by nations. We compare them to six other arXiv sections (hep-ph, hep-th, gr-qc, nucl-th, quant-ph, cond-mat) and to two socio-economic indices of the nations involved: the Gross Domestic Product (GDP) and the Education Index (EI). We present rankings, which are based either on the Hirsch Index H, or on the linear combination $\Sigma = E + P + 0.05 C$. We consider both extensive and intensive national statistics, i.e. absolute and relative to the population or to the GDP.","Thu, 15 Feb 2024 00:03:42 UTC (160 KB)"
"56","Physics, scientific investigation and society in Argentina, 1920-1930","Alejandro Gangui, Eduardo L. Ortiz","History and Philosophy of Physics (physics.hist-ph)","We analyse the scientific research carried out at the Institute of Physics of the National University of La Plata in the first half of the 20th century, and the cultural and social context in which they were immersed. We focus especially on the activities carried out by the Argentine physicist Ramon G. Loyarte, who was an emblematic personality in the scientific, educational, cultural and political world of Argentina in those years. We discuss his most important works in experimental physics and quantum mechanics, his activities in the management and promotion of science and the international impact of his scientific proposals, as well as the origin of the controversies unleashed by his most daring ideas. For the latter topics we employ a novel tool: we examine the comments on his work published in prestigious international scientific review journals, which help to understand Loyarte's findings in a more comprehensive and contemporary way.","Wed, 14 Feb 2024 21:42:09 UTC (293 KB)"
"57","A Note on the Origin of Inertia","A. Schlatter, R. E. Kastner","General Relativity and Quantum Cosmology (gr-qc)","The question of where the inertial properties of matter come from has been open for a long time. Isaac Newton considered inertia an intrinsic property of matter. Ernst Mach held a different view whereby the inertia of a body comes from its interaction with the rest of the universe. This idea is known today as Mach's principle. We discuss Mach's principle based on transactional gravity, the recently developed completion of the entropic gravity program by the physics of quantum events induced by transactions. A consequence of the analysis is a fundamental relation between the gravitational constant G and the total mass in the causal universe, derived by means of entropic principles.","Wed, 14 Feb 2024 18:12:52 UTC (266 KB)"
"58","Same-diff? Conceptual similarities between gauge transformations and diffeomorphisms. Part III: Representational conventions and relationism","Henrique Gomes","History and Philosophy of Physics (physics.hist-ph)","The following questions are germane to our understanding of gauge-(in)variant quantities and physical possibility: in which ways are gauge transformations and spacetime diffeomorphisms similar, and in which are they different? Sophistication is the most popular attitude towards some of these questions: roughly, it takes models related by these symmetries to represent the same physical possibility. In the previous paper in this series, I discussed obstacles to sophistication and then showed how these obstacles are overcome by theories that fulfill three Desiderata (i-iii). But this resolution still leaves open two main worries about sophistication: (a) it allows the individuation of structure-tokens to remain intractably prolix and thus of limited use, which is why practising physicists frequently invoke 'relational, symmetry-invariant observables'; and (b) it leaves us with no formal framework for expressing counterfactual statements about the world. Here I will show that a third Desideratum, (iii), answers these worries. The new Desideratum requires a `relational' understanding \emph{of coordinates} (or frames, etc).","Wed, 14 Feb 2024 14:28:22 UTC (94 KB)"
"59","Awareness in robotics: An early perspective from the viewpoint of the EIC Pathfinder Challenge ""Awareness Inside''","Cosimo Della Santina, Carlos Hernandez Corbato, Burak Sisman, Luis A. Leiva, Ioannis Arapakis, Michalis Vakalellis, Jean Vanderdonckt, Luis Fernando D'Haro, Guido Manzi, Cristina Becchio, Aïda Elamrani, Mohsen Alirezaei, Ginevra Castellano, Dimos V. Dimarogonas, Arabinda Ghosh, Sofie Haesaert, Sadegh Soudjani, Sybert Stroeve, Paul Verschure, Davide Bacciu, Ophelia Deroy, Bahador Bahrami, Claudio Gallicchio, Sabine Hauert, Ricardo Sanz, Pablo Lanillos, Giovanni Iacca, Stephan Sigg, Manel Gasulla, Luc Steels, Carles Sierra","Robotics (cs.RO)","Consciousness has been historically a heavily debated topic in engineering, science, and philosophy. On the contrary, awareness had less success in raising the interest of scholars in the past. However, things are changing as more and more researchers are getting interested in answering questions concerning what awareness is and how it can be artificially generated. The landscape is rapidly evolving, with multiple voices and interpretations of the concept being conceived and techniques being developed. The goal of this paper is to summarize and discuss the ones among these voices connected with projects funded by the EIC Pathfinder Challenge called ``Awareness Inside'', a nonrecurring call for proposals within Horizon Europe designed specifically for fostering research on natural and synthetic awareness. In this perspective, we dedicate special attention to challenges and promises of applying synthetic awareness in robotics, as the development of mature techniques in this new field is expected to have a special impact on generating more capable and trustworthy embodied systems.","Wed, 14 Feb 2024 09:08:00 UTC (3,439 KB)"
"60","Thinking twice inside the box: is Wigner's friend really quantum?","Caroline L. Jones, Markus P. Mueller","Quantum Physics (quant-ph)","There has been a surge of recent interest in the Wigner's friend paradox, sparking several novel thought experiments and no-go theorems. The main narrative has been that Wigner's friend highlights a counterintuitive feature that is unique to quantum theory, and which is closely related to the quantum measurement problem. Here, we challenge this view. We argue that the gist of the Wigner's friend paradox can be reproduced without assuming quantum physics, and that it underlies a much broader class of enigmas in the foundations of physics and philosophy. To show this, we first consider several recently proposed extended Wigner's friend scenarios, and demonstrate that their implications for the absoluteness of observations can be reproduced by classical thought experiments that involve the duplication of agents. Crucially, some of these classical scenarios are technologically much easier to implement than their quantum counterparts. Then, we argue that the essential structural ingredient of all these scenarios is a feature that we call ""Restriction A"": essentially, that a physical theory cannot give us a probabilistic description of the observations of all agents. Finally, we argue that this difficulty is at the core of other puzzles in the foundations of physics and philosophy, and demonstrate this explicitly for cosmology's Boltzmann brain problem. Our analysis suggests that Wigner's friend should be studied in a larger context, addressing a frontier of human knowledge that exceeds the boundaries of quantum physics: to obtain reliable predictions for experiments in which these predictions can be privately but not intersubjectively verified.","Tue, 13 Feb 2024 19:00:13 UTC (393 KB)"
"61","What is the Q of a Blackbody? A small contribution to Gustav Robert Kirchhoff's bicentennial","Arthur Ballato, John Ballato","Quantum Physics (quant-ph)","The blackbody spectrum ""half-power points"" are used to assign effective Q ""quality factor"" values that are found to be less than unity whether frequency or wavelength scaling is used. A comparison with values for coherent oscillators is made. This exercise blends two of Kirchhoff's interests, and is instructive in its own right, as it bridges the often mutually exclusive engineering and scientific disciplines.","Fri, 9 Feb 2024 21:42:12 UTC (841 KB)[v2] Mon, 11 Mar 2024 16:19:58 UTC (911 KB)"
"62","Yuri Lvovich Klimontovich, his theory of fluctuations and its impact on the kinetic theory","Michael Bonitz, Anatoly Zagorodny","History and Philosophy of Physics (physics.hist-ph)","Yuri L'vovich Klimontovich (28.09.1924--26.10.2002) was an outstanding theoretical physicist who made major contributions to kinetic theory. On the occasion of his 100th birthday we recall his main scientific achievements.","Wed, 7 Feb 2024 19:29:34 UTC (2,474 KB)"
"63","The Reasons that Agents Act: Intention and Instrumental Goals","Francis Rhys Ward, Matt MacDermott, Francesco Belardinelli, Francesca Toni, Tom Everitt","Artificial Intelligence (cs.AI)","Intention is an important and challenging concept in AI. It is important because it underlies many other concepts we care about, such as agency, manipulation, legal responsibility, and blame. However, ascribing intent to AI systems is contentious, and there is no universally accepted theory of intention applicable to AI agents. We operationalise the intention with which an agent acts, relating to the reasons it chooses its decision. We introduce a formal definition of intention in structural causal influence models, grounded in the philosophy literature on intent and applicable to real-world machine learning systems. Through a number of examples and results, we show that our definition captures the intuitive notion of intent and satisfies desiderata set-out by past work. In addition, we show how our definition relates to past concepts, including actual causality, and the notion of instrumental goals, which is a core idea in the literature on safe AI agents. Finally, we demonstrate how our definition can be used to infer the intentions of reinforcement learning agents and language models from their behaviour.","Sun, 11 Feb 2024 14:39:40 UTC (190 KB)[v2] Thu, 15 Feb 2024 11:45:37 UTC (186 KB)"
"64","BGG Resolutions, Koszulity, and Stratifications, Part I: the nilBrauer Algebra","Fan Zhou","Representation Theory (math.RT)","In this paper we homologically construct a (functorial) BGG resolution of the finite-dimensional simple module of the nilBrauer algebra by using infinity-categorical methods following the reconstruction-from-stratification philosophy, e.g. appearing in Ayala-Mazel-Gee-Rozenblyum. To do so, we prove a fact of independent interest, that half of the nilBrauer algebra is Koszul. This BGG resolution categorifies a character formula of Brundan-Wang-Webster. More generally, we have a (functorial) ``BGG spectral sequence'' which converges to any desired module; this spectral sequence is secretly a resolution when the desired module is finite-dimensional. This spectral sequence also categorifies the character formulae of Brundan-Wang-Webster for any (possibly infinite-dimensional) simple module. We expect the methods used here for producing BGG resolutions to be applicable to other (graded) triangular-based algebras also, especially diagrammatic ones.","Sat, 10 Feb 2024 05:36:18 UTC (64 KB)"
