"title","author","subject","abstract","date"
"new prospects for a causally local formulation of quantum theory","jacob a. barandes","quantum physics","it is difficult to extract reliable criteria for causal locality from the limited ingredients found in textbook quantum theory. in the end, bell humbly warned that his eponymous theorem was based on criteria that ""should be viewed with the utmost suspicion."" remarkably, by stepping outside the wave-function paradigm, one can reformulate quantum theory in terms of old-fashioned configuration spaces together with 'unistochastic' laws. these unistochastic laws take the form of directed conditional probabilities, which turn out to provide a hospitable foundation for encoding microphysical causal relationships. this unistochastic reformulation provides quantum theory with a simpler and more transparent axiomatic foundation, plausibly resolves the measurement problem, and deflates various exotic claims about superposition, interference, and entanglement. making use of this reformulation, this paper introduces a new principle of causal locality that is intended to improve on bell's criteria, and shows directly that systems that remain at spacelike separation cannot exert causal influences on each other, according to that new principle. these results therefore lead to a general hidden-variables interpretation of quantum theory that is arguably compatible with causal locality.",2024-02-26
"whose projection postulate?","anthony sudbery","quantum physics","the projection postulate is a description of the effect on a quantum system, assumed to be in a pure state, of a measurement of an observable with a discrete spectrum, in nonrelativistic quantum mechanics. it is often called ""von neumann's projection postulate"" or ""the lüders rule"". this paper is an examination of the versions of this postulate due to dirac, von neumann and lüders. it is shown that dirac, in 1930, proposed what is now generally known as the projection postulate. von neumann, in 1932, gave a different theory which only applies in special and rather unusual cases. lüders, in 1951, rejected this theory and presented one which is the same as dirac's. treatments of observables with continuous spectra by both dirac and von neumann are criticised, and the possibility of a generalised version of the projection postulate for this case is considered. the paper concludes with a discussion of the status of the projection postulate (in its various forms) as a separate postulate (independent of the other postulates of quantum mechanics) and as a separate form of time development (in addition to the time-dependent schrödinger equation).",2024-02-23
"pre-chirp-domain index modulation for affine frequency division multiplexing","guangyao liu, tianqi mao, ruiqi liu, zhenyu xiao","information theory","affine frequency division multiplexing (afdm), tailored as a novel multicarrier technique utilizing chirp signals for high-mobility communications, exhibits marked advantages compared to traditional orthogonal frequency division multiplexing (ofdm). afdm is based on the discrete affine fourier transform (daft) with two modifiable parameters of the chirp signals, termed as the pre-chirp parameter and post-chirp parameter, respectively. these parameters can be fine-tuned to avoid overlapping channel paths with different delays or doppler shifts, leading to performance enhancement especially for doubly dispersive channel. in this paper, we propose a novel afdm structure with the pre-chirp index modulation (pim) philosophy (afdm-pim), which can embed additional information bits into the pre-chirp parameter design for both spectral and energy efficiency enhancement. specifically, we first demonstrate that the application of distinct pre-chirp parameters to various subcarriers in the afdm modulation process maintains the orthogonality among these subcarriers. then, different pre-chirp parameters are flexibly assigned to each afdm subcarrier according to the incoming bits. by such arrangement, aside from classical phase/amplitude modulation, extra binary bits can be implicitly conveyed by the indices of selected pre-chirping parameters realizations without additional energy consumption. at the receiver, both a maximum likelihood (ml) detector and a reduced-complexity ml-minimum mean square error (ml-mmse) detector are employed to recover the information bits. it has been shown via simulations that the proposed afdm-pim exhibits superior bit error rate (ber) performance compared to classical afdm, ofdm and im-aided ofdm algorithms.",2024-02-23
"the dual dynamical foundation of orthodox quantum mechanics","diana taschetto, ricardo correa da silva","history and philosophy of physics","this paper combines mathematical, philosophical, and historical analyses in a comprehensive investigation of the dynamical foundations of the formalism of orthodox quantum mechanics. the results obtained include: (i) a deduction of the canonical commutation relations (ccr) from the tenets of matrix mechanics; (ii) a discussion of the meaning of schrödinger's first derivation of the wave equation that not only improves on joas and lehner's 2009 investigation on the subject but also demonstrates that the ccr follow of necessity from schrödinger's first derivation of the wave equation, thus correcting the common misconception that the ccr were only posited by schrödinger to pursue equivalence with matrix mechanics; (iii) a discussion of the mathematical facts and requirements involved in the equivalence of matrix and wave mechanics that improves on f. a. muller's classical treatment of the subject; (iv) a proof that the equivalence of matrix and wave mechanics is necessitated by the formal requirements of a dual action functional from which both the dynamical postulates of orthodox quantum mechanics, von neumann's process 1 and process 2, follow; (v) a critical assessment, based on (iii) and (iv), of von neumann's construction of unified quantum mechanics over hilbert space. point (iv) is our main result. it brings to the open the important, but hitherto ignored, fact that orthodox quantum mechanics is no exception to the golden rule of physics that the dynamics of a physical theory must follow from the action functional. if orthodox quantum mechanics, based as it is on the assumption of the equivalence of matrix and wave mechanics, has this ""peculiar dual dynamics,"" as von neumann called it, this is so because by assuming the equivalence one has been assuming a peculiar dual action.",2024-02-23
"the spectrum of he$^+$ as a proving ground for bohr's model of the atom: a legacy of williamina fleming's astrophysical discovery","maria mceachern, bretislav friedrich","atomic physics","in 1896, edward charles pickering (1846-1919), director of the harvard college observatory (hco), reported in a trio of publications the observation of ""peculiar spectra"" of the southern star $\zeta$ puppis, which he attributed to an ""element not yet found in other stars or on earth."" supported by laboratory spectra obtained by alfred fowler (1868-1940), niels bohr (1885-1962) showed in 1913 that this ""element"" was in fact ionized helium, he$^+$. its spectrum has become known as the pickering series, even though pickering credited williamina fleming (1857-1911) for the discovery. fleming was one of hco's ""computers"" and the future curator of the astronomical photographic glass plate collection. the series of spectral lines associated with pickering's name played a unique role on the path to quantum mechanics by serving as a proving ground for bohr's model of the atom. our examination of the discovery of the pickering series relied on the records held at the center for astrophysics $\vert$ harvard \& smithsonian (the successor institution to hco), especially the notebooks and diaries of williamina fleming and others as well as on the center's glass plate collection. glimpses of the ""peculiar sociology"" of a research institution, half of whose staff were women employed on grossly unequal terms with men, are given in the course of the narrative.",2024-02-22
"on gibbs equilibrium and hillert nonequilibrium thermodynamics","zi-kui liu","statistical mechanics","during his time at royal institute of technology (kungliga tekniska hogskolan, kth) in sweden, the present author learned nonequilibrium thermodynamics from mats hillert. the key concept is the separation of internal and external variables of a system. in equilibrium thermodynamics derived by gibbs, the internal variables are not independent and can be fully evaluated from given external variables. while irreversible thermodynamics led by onsager focuses on internal variables though often mixed with external variables. hillert integrated them together by first emphasizing their differences and then examining their connections. his philosophy was reflected by the title of his book ""phase equilibria, phase diagrams and phase transformations"" that puts equilibrium, nonequilibrium, and internal processes on equal footing. in the present paper honoring hillert, the present author reflects his experiences with hillert in last 35 years and expresses his gratitude for all the wisdom and support from him in terms of ""hillert nonequilibrium thermodynamics"" and discusses some recent topics that the present author has been working on.",2024-02-22
"betting on what is neither verifiable nor falsifiable","abhimanyu pallavi sudhir, long tran-thanh","computer science and game theory","prediction markets are useful for estimating probabilities of claims whose truth will be revealed at some fixed time -- this includes questions about the values of real-world events (i.e. statistical uncertainty), and questions about the values of primitive recursive functions (i.e. logical or algorithmic uncertainty). however, they cannot be directly applied to questions without a fixed resolution criterion, and real-world applications of prediction markets to such questions often amount to predicting not whether a sentence is true, but whether it will be proven. such questions could be represented by countable unions or intersections of more basic events, or as first-order-logic sentences on the arithmetical hierarchy (or even beyond fol, as hyperarithmetical sentences). in this paper, we propose an approach to betting on such events via options, or equivalently as bets on the outcome of a ""verification-falsification game"". our work thus acts as an alternative to the existing framework of garrabrant induction for logical uncertainty, and relates to the stance known as constructivism in the philosophy of mathematics; furthermore it has broader implications for philosophy and mathematical logic.",2024-01-29
"the dynamics of neural codes in biological and artificial neural networks","guillermo b. morales","neurons and cognition","advancing our knowledge of how the brain processes information remains a key challenge in neuroscience. this thesis combines three different approaches to the study of the dynamics of neural networks and their encoding representations: a computational approach, that builds upon basic biological features of neurons and their networks to construct effective models that can simulate their structure and dynamics; a machine-learning approach, which draws a parallel with the functional capabilities of brain networks, allowing us to infer the dynamical and encoding properties required to solve certain input-processing tasks; and a final, theoretical treatment, which will take us into the fascinating hypothesis of the ""critical"" brain as the mathematical foundation that can explain the emergent collective properties arising from the interactions of millions of neurons. hand in hand with physics, we venture into the realm of neuroscience to explain the existence of quasi-universal scaling properties across brain regions, setting out to quantify the distance of their dynamics from a critical point. next, we move into the grounds of artificial intelligence, where the very same theory of critical phenomena will prove very useful for explaining the effects of biologically-inspired plasticity rules in the forecasting ability of reservoir computers. halfway into our journey, we explore the concept of neural representations of external stimuli, unveiling a surprising link between the dynamical regime of neural networks and the optimal topological properties of such representation manifolds. the thesis ends with the singular problem of representational drift in the process of odor encoding carried out by the olfactory cortex, uncovering the potential synaptic plasticity mechanisms that could explain this recently observed phenomenon.",2024-02-20
"making sense of gravitational thermodynamics","lorenzo lorenzetti","history and philosophy of physics","the use of statistical methods to model gravitational systems is crucial to physics practice, but the extent to which thermodynamics and statistical mechanics genuinely apply to these systems is a contentious issue. this paper provides new conceptual foundations for gravitational thermodynamics by reconsidering the nature of key concepts like equilibrium and advancing a novel way of understanding thermodynamics. the challenges arise from the peculiar characteristics of the gravitational potential, leading to non-extensive energy and entropy, negative heat capacity, and a lack of standard equilibrium. hence it has been claimed that only non-equilibrium statistical mechanics is warranted in this domain, whereas thermodynamics is inapplicable. we argue instead that equilibrium statistical mechanics applies to self-gravitating systems at the relevant scale, as they display equilibrium in the form of metastable quasi-equilibrium states. we then develop a minimal framework for thermodynamics that can be applied to these systems and beyond. thermodynamics applies in the sense that we can devise macroscopic descriptions and explanations of the behaviour of these systems in terms of coarse-grained quantities within equilibrium statistical mechanics.",2024-02-18
"causal equal protection as algorithmic fairness","marcello di bello, nicolò cangiotti, michele loi","computers and society","over the last ten years the literature in computer science and philosophy has formulated different criteria of algorithmic fairness. one of the most discussed, classification parity, requires that the erroneous classifications of a predictive algorithm occur with equal frequency for groups picked out by protected characteristics. despite its intuitive appeal, classification parity has come under attack. multiple scenarios can be imagined in which - intuitively - a predictive algorithm does not treat any individual unfairly, and yet classification parity is violated. to make progress, we turn to a related principle, equal protection, originally developed in the context of criminal justice. key to equal protection is equalizing the risks of erroneous classifications (in a sense to be specified) as opposed to equalizing the rates of erroneous classifications. we show that equal protection avoids many of the counterexamples to classification parity, but also fails to model our moral intuitions in a number of common scenarios, for example, when the predictor is causally downstream relative to the protected characteristic. to address these difficulties, we defend a novel principle, causal equal protection, that models the fair allocation of the risks of erroneous classification through the lenses of causality.",2024-02-19
"learning to edit: aligning llms with knowledge editing","yuxin jiang, yufei wang, chuhan wu, wanjun zhong, xingshan zeng, jiahui gao, liangyou li, xin jiang, lifeng shang, ruiming tang, qun liu, wei wang","computation and language","knowledge editing techniques, aiming to efficiently modify a minor proportion of knowledge in large language models (llms) without negatively impacting performance across other inputs, have garnered widespread attention. however, existing methods predominantly rely on memorizing the updated knowledge, impeding llms from effectively combining the new knowledge with their inherent knowledge when answering questions. to this end, we propose a learning to edit (lte) framework, focusing on teaching llms to apply updated knowledge into input questions, inspired by the philosophy of ""teach a man to fish."" lte features a two-phase process: (i) the alignment phase, which fine-tunes llms on a meticulously curated parallel dataset to make reliable, in-scope edits while preserving out-of-scope information and linguistic proficiency; and (ii) the inference phase, which employs a retrieval-based mechanism for real-time and mass knowledge editing. by comparing our approach with seven advanced baselines across four popular knowledge editing benchmarks and two llm architectures, we demonstrate lte's superiority in knowledge editing performance, robustness in both batch and sequential editing, minimal interference on general tasks, and rapid editing speeds. the data and code are available at this https url.",2024-02-19
"c. v. vishveshwara (vishu) on the black hole trek","naresh dadhich, k rajesh nayak","general relativity and quantum cosmology","with his seminal and pioneering work on the stability of the schwarzschild black hole and its interaction with gravitational radiation, vishu had opened a new window on black hole astrophysics. one of the interesting results that soon followed was that ""a black hole has no hair"", it is entirely specified by the three parameters, mass, spin and charge, and nothing more. the discovery of gravitational waves in 2016 produced by merger of two black holes, and observed by the ligo-virgo collaboration, carried the definitive signature of quasi-normal modes, the phenomenon of black hole ringdown, exactly what vishu had predicted in his 1970 nature paper~(see isaacson's commentary) 46 years ago. this was the crowning glory.",2024-02-18
"a review of 70 years with astrometry","erik høg","instrumentation and methods for astrophysics","in 1953 i heard of an experiment in 1925 by bengt strömgren where he observed transit times with the meridian circle at the copenhagen university observatory measuring the current in a photocell behind slits when a star was crossing. in 1954 just 22 years old i was given the task as a student to make first test observations with a new meridian circle of the observatory. i became fascinated by the instrument and by the importance of astrometry for astronomy. work at four meridian circles, two in denmark, one in hamburg, one in lund, and pierre lacroute's vision of space astrometry in france had by 1973 created the foundation for development of the hipparcos satellite, and gaia followed. in 2013 i proposed a successor satellite which has gained momentum especially thanks to the efforts of david hobbs and it has a good chance to be launched by esa about 2045. but 70 years ago, optical astrometry was considered a dying branch of astronomy, unattractive compared with astrophysics. the following growth built on the still active interest in astrometry in europe in those years and it was supported by esa, the european space agency. this review is only about astrometry where i was personally involved.",2024-02-16
"""understanding ai"": semantic grounding in large language models","holger lyre","computation and language","do llms understand the meaning of the texts they generate? do they possess a semantic grounding? and how could we understand whether and what they understand? i start the paper with the observation that we have recently witnessed a generative turn in ai, since generative models, including llms, are key for self-supervised learning. to assess the question of semantic grounding, i distinguish and discuss five methodological ways. the most promising way is to apply core assumptions of theories of meaning in philosophy of mind and language to llms. grounding proves to be a gradual affair with a three-dimensional distinction between functional, social and causal grounding. llms show basic evidence in all three dimensions. a strong argument is that llms develop world models. hence, llms are neither stochastic parrots nor semantic zombies, but already understand the language they generate, at least in an elementary sense.",2024-02-16
"the evenki accounts of the 1908 tunguska event collected in 1920s-1930s","andrei ol'khovatov","history and philosophy of physics","this paper is a continuation of a series of works, devoted to various aspects of the 1908 tunguska event. it is devoted to the evenki accounts of the 1908 tunguska event collected in 1920s - 1930s. it is important to research accounts of evenki who were rather close to the epicenter. the evenki accounts are important also, because evenki are natural hunters and pathfinders - their lives depend on their memory and vision. most of the reviewed in this work accounts were collected at the evenki conference, when telling a lie was considered to be a serious misconduct. these evenki accounts are compared with other tunguska accounts. also weather conditions associated with the tunguska event are considered. some manifestations of the tunguska event are discussed.",2023-12-18
"identification is pointless: quantum reference frames, localisation of events, and the quantum hole argument","viktoria kabel, anne-catherine de la hamette, luca apadula, carlo cepollaro, henrique gomes, jeremy butterfield, časlav brukner","quantum physics","the study of quantum reference frames (qrfs) is motivated by the idea of taking into account the quantum properties of the reference frames that we use, explicitly or implicitly, in our description of physical systems. like a classical reference frame, a qrf can be used to define physical quantities such as time, position, momentum, and spin relationally. unlike its classical analogue, it relativises the notions of superposition and entanglement. here, we provide a novel explanation for the frame-dependence of superposition and entanglement by tracing it back to the question of how configurations or locations are identified across different branches in superposition. we show that, in the presence of symmetries, whether a system is in 'the same' or 'different' configurations across the branches depends on the choice of qrf. thus, sameness and difference-and, as a result, superposition and entanglement-lose their absolute meaning. we apply these ideas to semi-classical spacetimes in superposition and use coincidences of four scalar fields to construct a comparison map between the spacetime points in the different branches. this allows us to determine whether a given event is located at 'the same' or 'different' points in the superposed spacetimes. since this feature depends on the choice of qrf, we argue that the localisation of an event should not be seen as an inherent property. this alleviates previously voiced concerns that qrf changes could have empirical consequences for interference experiments, such as the bmv proposal. moreover, it implies that the number of events is equal in both the flat and the curved spacetime implementations of indefinite causal order. we conclude with the 'quantum hole argument' as a generalisation of einstein's hole argument, arguing that not just spacetime points but also their identification across a superposition lose their absolute physical meaning.",2024-02-15
"text-based product matching -- semi-supervised clustering approach","alicja martinek, szymon łukasik, amir h. gandomi","databases","matching identical products present in multiple product feeds constitutes a crucial element of many tasks of e-commerce, such as comparing product offerings, dynamic price optimization, and selecting the assortment personalized for the client. it corresponds to the well-known machine learning task of entity matching, with its own specificity, like omnipresent unstructured data or inaccurate and inconsistent product descriptions. this paper aims to present a new philosophy to product matching utilizing a semi-supervised clustering approach. we study the properties of this method by experimenting with the idec algorithm on the real-world dataset using predominantly textual features and fuzzy string matching, with more standard approaches as a point of reference. encouraging results show that unsupervised matching, enriched with a small annotated sample of product links, could be a possible alternative to the dominant supervised strategy, requiring extensive manual data labeling.",2024-02-01
"history of lattice field theory from a statistical perspective","wolfgang bietenholz","high energy physics - lattice","researchers working in lattice field theory constitute an established community since the early 1990s, and around the same time the online open-access e-print repository arxiv was created. the fact that this field has a specific arxiv section, hep-lat, which is comprehensively used, provides a unique opportunity for a statistical study of its evolution over the last three decades. we present data for the number of entries, $e$, published papers, $p$, and citations, $c$, in total and separated by nations. we compare them to six other arxiv sections (hep-ph, hep-th, gr-qc, nucl-th, quant-ph, cond-mat) and to two socio-economic indices of the nations involved: the gross domestic product (gdp) and the education index (ei). we present rankings, which are based either on the hirsch index h, or on the linear combination $\sigma = e + p + 0.05 c$. we consider both extensive and intensive national statistics, i.e. absolute and relative to the population or to the gdp.",2024-02-15
"physics, scientific investigation and society in argentina, 1920-1930","alejandro gangui, eduardo l. ortiz","history and philosophy of physics","we analyse the scientific research carried out at the institute of physics of the national university of la plata in the first half of the 20th century, and the cultural and social context in which they were immersed. we focus especially on the activities carried out by the argentine physicist ramon g. loyarte, who was an emblematic personality in the scientific, educational, cultural and political world of argentina in those years. we discuss his most important works in experimental physics and quantum mechanics, his activities in the management and promotion of science and the international impact of his scientific proposals, as well as the origin of the controversies unleashed by his most daring ideas. for the latter topics we employ a novel tool: we examine the comments on his work published in prestigious international scientific review journals, which help to understand loyarte's findings in a more comprehensive and contemporary way.",2024-02-14
"a note on the origin of inertia","a. schlatter, r. e. kastner","general relativity and quantum cosmology","the question of where the inertial properties of matter come from has been open for a long time. isaac newton considered inertia an intrinsic property of matter. ernst mach held a different view whereby the inertia of a body comes from its interaction with the rest of the universe. this idea is known today as mach's principle. we discuss mach's principle based on transactional gravity, the recently developed completion of the entropic gravity program by the physics of quantum events induced by transactions. a consequence of the analysis is a fundamental relation between the gravitational constant g and the total mass in the causal universe, derived by means of entropic principles.",2024-02-14
"same-diff? conceptual similarities between gauge transformations and diffeomorphisms. part iii: representational conventions and relationism","henrique gomes","history and philosophy of physics","the following questions are germane to our understanding of gauge-(in)variant quantities and physical possibility: in which ways are gauge transformations and spacetime diffeomorphisms similar, and in which are they different? sophistication is the most popular attitude towards some of these questions: roughly, it takes models related by these symmetries to represent the same physical possibility. in the previous paper in this series, i discussed obstacles to sophistication and then showed how these obstacles are overcome by theories that fulfill three desiderata (i-iii). but this resolution still leaves open two main worries about sophistication: (a) it allows the individuation of structure-tokens to remain intractably prolix and thus of limited use, which is why practising physicists frequently invoke 'relational, symmetry-invariant observables'; and (b) it leaves us with no formal framework for expressing counterfactual statements about the world. here i will show that a third desideratum, (iii), answers these worries. the new desideratum requires a `relational' understanding \emph{of coordinates} (or frames, etc).",2024-02-14
"awareness in robotics: an early perspective from the viewpoint of the eic pathfinder challenge ""awareness inside''","cosimo della santina, carlos hernandez corbato, burak sisman, luis a. leiva, ioannis arapakis, michalis vakalellis, jean vanderdonckt, luis fernando d'haro, guido manzi, cristina becchio, aïda elamrani, mohsen alirezaei, ginevra castellano, dimos v. dimarogonas, arabinda ghosh, sofie haesaert, sadegh soudjani, sybert stroeve, paul verschure, davide bacciu, ophelia deroy, bahador bahrami, claudio gallicchio, sabine hauert, ricardo sanz, pablo lanillos, giovanni iacca, stephan sigg, manel gasulla, luc steels, carles sierra","robotics","consciousness has been historically a heavily debated topic in engineering, science, and philosophy. on the contrary, awareness had less success in raising the interest of scholars in the past. however, things are changing as more and more researchers are getting interested in answering questions concerning what awareness is and how it can be artificially generated. the landscape is rapidly evolving, with multiple voices and interpretations of the concept being conceived and techniques being developed. the goal of this paper is to summarize and discuss the ones among these voices connected with projects funded by the eic pathfinder challenge called ``awareness inside'', a nonrecurring call for proposals within horizon europe designed specifically for fostering research on natural and synthetic awareness. in this perspective, we dedicate special attention to challenges and promises of applying synthetic awareness in robotics, as the development of mature techniques in this new field is expected to have a special impact on generating more capable and trustworthy embodied systems.",2024-02-14
"thinking twice inside the box: is wigner's friend really quantum?","caroline l. jones, markus p. mueller","quantum physics","there has been a surge of recent interest in the wigner's friend paradox, sparking several novel thought experiments and no-go theorems. the main narrative has been that wigner's friend highlights a counterintuitive feature that is unique to quantum theory, and which is closely related to the quantum measurement problem. here, we challenge this view. we argue that the gist of the wigner's friend paradox can be reproduced without assuming quantum physics, and that it underlies a much broader class of enigmas in the foundations of physics and philosophy. to show this, we first consider several recently proposed extended wigner's friend scenarios, and demonstrate that their implications for the absoluteness of observations can be reproduced by classical thought experiments that involve the duplication of agents. crucially, some of these classical scenarios are technologically much easier to implement than their quantum counterparts. then, we argue that the essential structural ingredient of all these scenarios is a feature that we call ""restriction a"": essentially, that a physical theory cannot give us a probabilistic description of the observations of all agents. finally, we argue that this difficulty is at the core of other puzzles in the foundations of physics and philosophy, and demonstrate this explicitly for cosmology's boltzmann brain problem. our analysis suggests that wigner's friend should be studied in a larger context, addressing a frontier of human knowledge that exceeds the boundaries of quantum physics: to obtain reliable predictions for experiments in which these predictions can be privately but not intersubjectively verified.",2024-02-13
"what is the q of a blackbody? a small contribution to gustav robert kirchhoff's bicentennial","arthur ballato, john ballato","quantum physics","the blackbody spectrum ""half-power points"" are used to assign effective q ""quality factor"" values that are found to be less than unity whether frequency or wavelength scaling is used. a comparison with values for coherent oscillators is made. this exercise blends two of kirchhoff's interests, and is instructive in its own right, as it bridges the often mutually exclusive engineering and scientific disciplines.",2024-02-09
"yuri lvovich klimontovich, his theory of fluctuations and its impact on the kinetic theory","michael bonitz, anatoly zagorodny","history and philosophy of physics","yuri l'vovich klimontovich (28.09.1924--26.10.2002) was an outstanding theoretical physicist who made major contributions to kinetic theory. on the occasion of his 100th birthday we recall his main scientific achievements.",2024-02-07
"the reasons that agents act: intention and instrumental goals","francis rhys ward, matt macdermott, francesco belardinelli, francesca toni, tom everitt","artificial intelligence","intention is an important and challenging concept in ai. it is important because it underlies many other concepts we care about, such as agency, manipulation, legal responsibility, and blame. however, ascribing intent to ai systems is contentious, and there is no universally accepted theory of intention applicable to ai agents. we operationalise the intention with which an agent acts, relating to the reasons it chooses its decision. we introduce a formal definition of intention in structural causal influence models, grounded in the philosophy literature on intent and applicable to real-world machine learning systems. through a number of examples and results, we show that our definition captures the intuitive notion of intent and satisfies desiderata set-out by past work. in addition, we show how our definition relates to past concepts, including actual causality, and the notion of instrumental goals, which is a core idea in the literature on safe ai agents. finally, we demonstrate how our definition can be used to infer the intentions of reinforcement learning agents and language models from their behaviour.",2024-02-11
"bgg resolutions, koszulity, and stratifications, part i: the nilbrauer algebra","fan zhou","representation theory","in this paper we homologically construct a (functorial) bgg resolution of the finite-dimensional simple module of the nilbrauer algebra by using infinity-categorical methods following the reconstruction-from-stratification philosophy, e.g. appearing in ayala-mazel-gee-rozenblyum. to do so, we prove a fact of independent interest, that half of the nilbrauer algebra is koszul. this bgg resolution categorifies a character formula of brundan-wang-webster. more generally, we have a (functorial) ``bgg spectral sequence'' which converges to any desired module; this spectral sequence is secretly a resolution when the desired module is finite-dimensional. this spectral sequence also categorifies the character formulae of brundan-wang-webster for any (possibly infinite-dimensional) simple module. we expect the methods used here for producing bgg resolutions to be applicable to other (graded) triangular-based algebras also, especially diagrammatic ones.",2024-02-10
"everettian branching in the world and of the world","nadia blackshaw, nick huggett, james ladyman","quantum physics","this paper investigates the formation and propagation of wavefunction `branches' through the process of entanglement with the environment. while this process is a consequence of unitary dynamics, and hence significant to many if not all approaches to quantum theory, it plays a central role in many recent articulations of the everett or `many worlds' interpretation. a highly idealized model of a locally interacting system and environment is described, and investigated in several situations in which branching occurs, including those involving bell inequality violating correlations; we illustrate how any non-locality is compatible with the locality of the dynamics. although branching is particularly important for many worlds quantum theory, we take a neutral stance here, simply tracing out the consequences of a unitary dynamics. the overall goals are to provide a simple concrete realization of the quantum physics of branch formation, and especially to emphasise the compatibility of branching with relativity; the paper is intended to illuminate matters both for foundational work, and for the application of quantum theory to non-isolated systems.",2024-02-10
"a survey of a random matrix model for a family of cusp forms","owen barrett, zoë x. batterman, aditya jambhale, steven j. miller, akash l. narayanan, kishan sharma, chris yao","number theory","the katz-sarnak philosophy states that statistics of zeros of $l$-function families near the central point as the conductors tend to infinity agree with those of eigenvalues of random matrix ensembles as the matrix size tends to infinity. while numerous results support this conjecture, s. j. miller observed that for finite conductors, very different behavior can occur for zeros near the central point in elliptic curve families. this led to the excised model of dueñez, huynh, keating, miller, and snaith, whose predictions for quadratic twists of a given elliptic curve are beautifully fit by the data. the key ingredients are relating the discretization of central values of the $l$-functions to excising matrices based on the value of the characteristic polynomials at 1 and using lower order terms (in statistics such as the one-level density and pair-correlation) to adjust the matrix size. we discuss recent successes by the authors in extending this model to a family of quadratic twists of finite conductor of a given holomorphic cuspidal newform of level an odd prime level. in particular, we predict very little repulsion for forms with weight greater than 2.",2024-01-29
"subalgebra and khovanskii bases equivalence","colin alstad, michael burr, oliver clarke, timothy duff","algebraic geometry","the main results of this paper establish a partial correspondence between two previously-studied analogues of groebner bases in the setting of algebras: namely, subalgebra (aka sagbi) bases for quotients of polynomial rings and khovanskii bases for valued algebras. we aim to bridge the gap between the concrete, computational aspects of the former and the more abstract theory of the latter. our philosophy is that most interesting examples of khovanskii bases can also be realized as subalgebra bases and vice-versa. we also discuss the computation of newton-okounkov bodies, illustrating how interpreting khovanskii bases as subalgebra bases makes them more amenable to the existing computer algebra tools.",2024-02-08
"berta karlik -- the grande dame of the vienna radium institute","brigitte strohmaier","history and philosophy of physics","berta karlik was an austrian physicist who was not only among the early radioactivity researchers and nuclear physicists in vienna, but also pioneered a woman's academic career in austria. she was the first woman at the university of vienna to acquire the venia legendi in physics, and the first full professor at a philosophical faculty in austria. for almost thirty years she was the head of the institute for radium research of the austrian academy of sciences.",2024-02-08
"quantum ontology de-naturalized: what we can't learn from quantum mechanics","raoni arroyo, jonas r. becker arenhart","history and philosophy of physics","philosophers of science commonly connect ontology and science, stating that these disciplines maintain a two-way relationship: on the one hand, we can extract ontology from scientific theories; on the other hand, ontology provides the realistic content of our scientific theories. in this article, we will critically examine the process of naturalizing ontology, i.e., confining the work of ontologists merely to the task of pointing out which entities certain theories commit themselves to. we will use non-relativistic quantum mechanics as a case study. we begin by distinguishing two roles for ontology: the first would be characterized by cataloging existing entities according to quantum mechanics; the second would be characterized by establishing more general ontological categories in which existing entities must be classified. we argue that only the first step is available for a naturalistic approach; the second step not being open for determination or anchoring in science. finally, we also argue that metaphysics is still a step beyond ontology, not contained in either of the two tasks of ontology, being thus even farther from science.",2024-02-08
"research on the evolution of domestic multi-functional meter technology","zhen zhang","instrumentation and detectors","the technical evolution of domestic multi-functional electricity meter is deeply discussed. with the rapid development of the domestic power market and the continuous innovation of technology, the domestic multi-functional electricity meters have experienced the transformation from simple billing to complex multi-functional, from a single application to a wide range of fields. this transformation has not only driven the rapid development of electricity meter technology, but also met the increasing power demand and management requirements. this paper expounds the concept of multi-function meter, the working principle and algorithm of digital multiplier, the initiation and evolution of multi-function electricity meter standard, and the initiation and evolution of domestic multi-function electricity meter products. although the domestic independent production of multi-functional meter has made great achievements in performance, but in the reliability and key process technology still need to be improved. in addition, the development of communication technology also provides a new opportunity for the progress of electricity meter technology. the application of the new technology provides a more convenient and efficient way for the data transmission and remote management of electricity meters. domestic multi-functional electricity meters have made remarkable achievements in technology evolution and application and expansion, but they still face some challenges and opportunities. in the future, with the continuous development of the power market and the promotion of smart grid construction, domestic multi-functional electricity meters need to continue to strengthen technological innovation and product research and development, improve the reliability and competitiveness of products, in order to meet higher application needs and market requirements.",2024-02-08
