"...1","Movie Title","Review Title","Reviewer","Review","Date","Ratings","date","ratings"
255,"the dark knight (2008)","this town deserves a better class of criminal!","dseferaj","this movie is a work of art the finest sequel ever made i dont think we will see another movie like this for a long time heath ledgers joker is the best movie charachter i have ever seen by far avengers endgame is great but the dark knight is much better the best batman ever the best joker ever the best dc movie ever the best superhero movie ever ando for me the best movie ever","17 february 2021","10/10",2021-02-17,NA
256,"the dark knight (2008)","heath ledger's dark and brilliant swan song","filmquestint","i couldnt believe the dark knight could live up to the hype thats perhaps the biggest surprise the secret i believe is a stunning mature intelligent script that makes it the best superhero movie ever made as if that wasnt enough heath ledger he the newest of the tragic modern icons present us with a preview of something well never see a fearless extraordinary actor capable to fill up with humanity even the most grotesque of villains his performance is a master class fortunately christian bales batman is almost a supporting character bale is good but there is something around his mouth that stops him from being great the dark knight is visually stunning powerful and moving what else could anyone want","20 july 2008","10/10",2008-07-20,NA
257,"the dark knight (2008)","best superhero movie of all time","melwinbauer","warning spoilers","22 november 2021","10/10",2021-11-22,NA
258,"the dark knight (2008)","masterpiece","aegontheconqueror","it is just what you want for the best movie great story great acting thrilling twistjust watched joker in  i just has to come back and give dark knight a  and thanks to heath ledger for the exceptional performs","7 october 2019","8/10",2019-10-07,NA
259,"the dark knight (2008)","perfect balance between action and drama with an unforgettable villain","alsexgal","warning spoilers","2 october 2017","10/10",2017-10-02,NA
260,"the dark knight (2008)","surpasses ""begins"" in every aspect!!!","johnnymacbest","christopher nolans second bundle of joy the dark knight exceeded all  of my expectations with the success of s reboot of the batman  franchise they took what was already established and expanded it  amped it up and gave a deeper darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout christian bale delves more deeper into batman sworn to  fight evil and injustice though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents but with the  help of his trusted butlerally alfred played superbly by michael  cane grounds him gives him moral support and keeps him in check but  the real star of the show is heath ledger as batmans most deadly  enemy the joker i can honestly tell you that as good as jack  nicholson was in batman he is childs play compared to this joker  he is sadistic psychotic and downright scarier and psychologically  disturbing than the previous incarnation of the clown prince of crime  and ledger gives it his all to do him justice along with the original  cast comes some fresh faces such as aaron eckhart maggie gyllenhaal  and more i must say though i liked katie holmes gyllenhaal gives a  much better performance and is a far cry from the damselindistress  stereotype though theres a little of it thankfully thats common in  films bale and gyllenhall have much better chemistry this time around  more so than holmes even better the fight sequences are vastly  improved and feature more brutal and bone crushing combat than begins  in addition to new technology at batmans disposal  also worth mentioning is screenwriter jonathan nolan who gives the  film an added frosting to an already delicious cake  simply put the dark knight is totally more bad ass than begins the  action is great and the plot is more deeper and engrossing i applaud  christopher nolan christian bale and especially heath ledger who  sadly passed away earlier this year and all those aboard for believing  in mr nolans talents for this second installment although some may  feel a bit of melancholy over ledgers death but as a final note i  will say this sincerely from my heart remember heath ledger and honor  him in your minds and hearts not only for his performances but as a  human being and father to his daughter matilda  ledger may we issue him best wishes for his family and friends and his  daughter for years to come remember    honor him not only for this  role and past roles but as an incredible individual and talented  actor  rest in peace heath ledger ","7 july 2008","9/10",2008-07-07,NA
261,"the dark knight (2008)","the dark knight","u","confidently directed dark brooding and packed with impressive action sequences and a complex story the dark knight includes a careerdefining turn from heath ledger as well as other oscar worthy performances tdk remains not only the best batman movie but comic book movie ever created","12 february 2020","10/10",2020-02-12,NA
262,"the dark knight (2008)","the batman of our dreams! so much more than a comic book movie","smellslikecheese","warning spoilers","20 july 2008","9/10",2008-07-20,NA
263,"the dark knight (2008)","a batman of shakesperean proportions","littlemartinarocena","dark yes complex ambitious christopher nolan and his cowriter jonathan nolan deserve a standing ovation i dont usually go for loud movies filled with mindless gore and violence the dark knight is certainly loud and violent but its not mindless it has depth and soul even the joker in an extraordinary creation by heath ledger is deeply human the natural petulance of christian bale makes his ego and alter ego the most fascinating and complex of all film superheroes part of the genius of this movie is that batman himself in screen time is not really the lead my attention was captivated by heath ledger and he determines and inspires the breathtaking atmosphere that envelopes gotham as well as us the aplomb of christopher nolan as a director is mind blowing and his secret i believe is his obvious respect for his audience what hes done is to elevate a popular genre into shakesperean proportions bravo","24 july 2008","10/10",2008-07-24,NA
264,"the dark knight (2008)","watch the imax version if you can","kosmasp","i had the pleasure to watch this movie in an imax theatre in london it advertises itself with the slogan biggest screen in the uk which was one of the greatest movie experiences i had in my life and it was my first movie in an imax theatre i can only recommend it for anyone who has the chance to watch it even if not the entire movie is shot for an imax theatre this still is able to blow someone away great visuals combined with a great story and superb actingthe movie could also have been called the joker but even with heath ledgers great performance this still is a batman movie and the dark knight is clear enough even without the batman in the title i simply loved the movie but i heard some complaints from some friends it seems that some might have a problem with the depiction of the characters i loved heath ledger but there are a few out there who would have wanted to see him even crazier or the plot threads especially what is done with the character of aaron eckhart although i can see why that might be a problem for fans of the comic books i still stand by my vote this is the best batman movie ever until hopefully nolan and bale make the next one","14 september 2008","10/10",2008-09-14,NA
265,"the dark knight (2008)","this town deserves a better class of criminal!","dseferaj","this movie is a work of art the finest sequel ever made i dont think we will see another movie like this for a long time heath ledgers joker is the best movie charachter i have ever seen by far avengers endgame is great but the dark knight is much better the best batman ever the best joker ever the best dc movie ever the best superhero movie ever ando for me the best movie ever","17 february 2021","10/10",2021-02-17,NA
266,"the dark knight (2008)","heath ledger's dark and brilliant swan song","filmquestint","i couldnt believe the dark knight could live up to the hype thats perhaps the biggest surprise the secret i believe is a stunning mature intelligent script that makes it the best superhero movie ever made as if that wasnt enough heath ledger he the newest of the tragic modern icons present us with a preview of something well never see a fearless extraordinary actor capable to fill up with humanity even the most grotesque of villains his performance is a master class fortunately christian bales batman is almost a supporting character bale is good but there is something around his mouth that stops him from being great the dark knight is visually stunning powerful and moving what else could anyone want","20 july 2008","10/10",2008-07-20,NA
267,"the dark knight (2008)","best superhero movie of all time","melwinbauer","warning spoilers","22 november 2021","10/10",2021-11-22,NA
268,"the dark knight (2008)","masterpiece","aegontheconqueror","it is just what you want for the best movie great story great acting thrilling twistjust watched joker in  i just has to come back and give dark knight a  and thanks to heath ledger for the exceptional performs","7 october 2019","8/10",2019-10-07,NA
269,"the dark knight (2008)","perfect balance between action and drama with an unforgettable villain","alsexgal","warning spoilers","2 october 2017","10/10",2017-10-02,NA
270,"the dark knight (2008)","surpasses ""begins"" in every aspect!!!","johnnymacbest","christopher nolans second bundle of joy the dark knight exceeded all  of my expectations with the success of s reboot of the batman  franchise they took what was already established and expanded it  amped it up and gave a deeper darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout christian bale delves more deeper into batman sworn to  fight evil and injustice though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents but with the  help of his trusted butlerally alfred played superbly by michael  cane grounds him gives him moral support and keeps him in check but  the real star of the show is heath ledger as batmans most deadly  enemy the joker i can honestly tell you that as good as jack  nicholson was in batman he is childs play compared to this joker  he is sadistic psychotic and downright scarier and psychologically  disturbing than the previous incarnation of the clown prince of crime  and ledger gives it his all to do him justice along with the original  cast comes some fresh faces such as aaron eckhart maggie gyllenhaal  and more i must say though i liked katie holmes gyllenhaal gives a  much better performance and is a far cry from the damselindistress  stereotype though theres a little of it thankfully thats common in  films bale and gyllenhall have much better chemistry this time around  more so than holmes even better the fight sequences are vastly  improved and feature more brutal and bone crushing combat than begins  in addition to new technology at batmans disposal  also worth mentioning is screenwriter jonathan nolan who gives the  film an added frosting to an already delicious cake  simply put the dark knight is totally more bad ass than begins the  action is great and the plot is more deeper and engrossing i applaud  christopher nolan christian bale and especially heath ledger who  sadly passed away earlier this year and all those aboard for believing  in mr nolans talents for this second installment although some may  feel a bit of melancholy over ledgers death but as a final note i  will say this sincerely from my heart remember heath ledger and honor  him in your minds and hearts not only for his performances but as a  human being and father to his daughter matilda  ledger may we issue him best wishes for his family and friends and his  daughter for years to come remember    honor him not only for this  role and past roles but as an incredible individual and talented  actor  rest in peace heath ledger ","7 july 2008","9/10",2008-07-07,NA
271,"the dark knight (2008)","the dark knight","u","confidently directed dark brooding and packed with impressive action sequences and a complex story the dark knight includes a careerdefining turn from heath ledger as well as other oscar worthy performances tdk remains not only the best batman movie but comic book movie ever created","12 february 2020","10/10",2020-02-12,NA
272,"the dark knight (2008)","the batman of our dreams! so much more than a comic book movie","smellslikecheese","warning spoilers","20 july 2008","9/10",2008-07-20,NA
273,"the dark knight (2008)","a batman of shakesperean proportions","littlemartinarocena","dark yes complex ambitious christopher nolan and his cowriter jonathan nolan deserve a standing ovation i dont usually go for loud movies filled with mindless gore and violence the dark knight is certainly loud and violent but its not mindless it has depth and soul even the joker in an extraordinary creation by heath ledger is deeply human the natural petulance of christian bale makes his ego and alter ego the most fascinating and complex of all film superheroes part of the genius of this movie is that batman himself in screen time is not really the lead my attention was captivated by heath ledger and he determines and inspires the breathtaking atmosphere that envelopes gotham as well as us the aplomb of christopher nolan as a director is mind blowing and his secret i believe is his obvious respect for his audience what hes done is to elevate a popular genre into shakesperean proportions bravo","24 july 2008","10/10",2008-07-24,NA
274,"the dark knight (2008)","watch the imax version if you can","kosmasp","i had the pleasure to watch this movie in an imax theatre in london it advertises itself with the slogan biggest screen in the uk which was one of the greatest movie experiences i had in my life and it was my first movie in an imax theatre i can only recommend it for anyone who has the chance to watch it even if not the entire movie is shot for an imax theatre this still is able to blow someone away great visuals combined with a great story and superb actingthe movie could also have been called the joker but even with heath ledgers great performance this still is a batman movie and the dark knight is clear enough even without the batman in the title i simply loved the movie but i heard some complaints from some friends it seems that some might have a problem with the depiction of the characters i loved heath ledger but there are a few out there who would have wanted to see him even crazier or the plot threads especially what is done with the character of aaron eckhart although i can see why that might be a problem for fans of the comic books i still stand by my vote this is the best batman movie ever until hopefully nolan and bale make the next one","14 september 2008","10/10",2008-09-14,NA
275,"the dark knight (2008)","this town deserves a better class of criminal!","dseferaj","this movie is a work of art the finest sequel ever made i dont think we will see another movie like this for a long time heath ledgers joker is the best movie charachter i have ever seen by far avengers endgame is great but the dark knight is much better the best batman ever the best joker ever the best dc movie ever the best superhero movie ever ando for me the best movie ever","17 february 2021","10/10",2021-02-17,NA
276,"the dark knight (2008)","heath ledger's dark and brilliant swan song","filmquestint","i couldnt believe the dark knight could live up to the hype thats perhaps the biggest surprise the secret i believe is a stunning mature intelligent script that makes it the best superhero movie ever made as if that wasnt enough heath ledger he the newest of the tragic modern icons present us with a preview of something well never see a fearless extraordinary actor capable to fill up with humanity even the most grotesque of villains his performance is a master class fortunately christian bales batman is almost a supporting character bale is good but there is something around his mouth that stops him from being great the dark knight is visually stunning powerful and moving what else could anyone want","20 july 2008","10/10",2008-07-20,NA
277,"the dark knight (2008)","best superhero movie of all time","melwinbauer","warning spoilers","22 november 2021","10/10",2021-11-22,NA
278,"the dark knight (2008)","masterpiece","aegontheconqueror","it is just what you want for the best movie great story great acting thrilling twistjust watched joker in  i just has to come back and give dark knight a  and thanks to heath ledger for the exceptional performs","7 october 2019","8/10",2019-10-07,NA
279,"the dark knight (2008)","perfect balance between action and drama with an unforgettable villain","alsexgal","warning spoilers","2 october 2017","10/10",2017-10-02,NA
280,"the dark knight (2008)","surpasses ""begins"" in every aspect!!!","johnnymacbest","christopher nolans second bundle of joy the dark knight exceeded all  of my expectations with the success of s reboot of the batman  franchise they took what was already established and expanded it  amped it up and gave a deeper darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout christian bale delves more deeper into batman sworn to  fight evil and injustice though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents but with the  help of his trusted butlerally alfred played superbly by michael  cane grounds him gives him moral support and keeps him in check but  the real star of the show is heath ledger as batmans most deadly  enemy the joker i can honestly tell you that as good as jack  nicholson was in batman he is childs play compared to this joker  he is sadistic psychotic and downright scarier and psychologically  disturbing than the previous incarnation of the clown prince of crime  and ledger gives it his all to do him justice along with the original  cast comes some fresh faces such as aaron eckhart maggie gyllenhaal  and more i must say though i liked katie holmes gyllenhaal gives a  much better performance and is a far cry from the damselindistress  stereotype though theres a little of it thankfully thats common in  films bale and gyllenhall have much better chemistry this time around  more so than holmes even better the fight sequences are vastly  improved and feature more brutal and bone crushing combat than begins  in addition to new technology at batmans disposal  also worth mentioning is screenwriter jonathan nolan who gives the  film an added frosting to an already delicious cake  simply put the dark knight is totally more bad ass than begins the  action is great and the plot is more deeper and engrossing i applaud  christopher nolan christian bale and especially heath ledger who  sadly passed away earlier this year and all those aboard for believing  in mr nolans talents for this second installment although some may  feel a bit of melancholy over ledgers death but as a final note i  will say this sincerely from my heart remember heath ledger and honor  him in your minds and hearts not only for his performances but as a  human being and father to his daughter matilda  ledger may we issue him best wishes for his family and friends and his  daughter for years to come remember    honor him not only for this  role and past roles but as an incredible individual and talented  actor  rest in peace heath ledger ","7 july 2008","9/10",2008-07-07,NA
281,"the dark knight (2008)","the dark knight","u","confidently directed dark brooding and packed with impressive action sequences and a complex story the dark knight includes a careerdefining turn from heath ledger as well as other oscar worthy performances tdk remains not only the best batman movie but comic book movie ever created","12 february 2020","10/10",2020-02-12,NA
282,"the dark knight (2008)","the batman of our dreams! so much more than a comic book movie","smellslikecheese","warning spoilers","20 july 2008","9/10",2008-07-20,NA
283,"the dark knight (2008)","a batman of shakesperean proportions","littlemartinarocena","dark yes complex ambitious christopher nolan and his cowriter jonathan nolan deserve a standing ovation i dont usually go for loud movies filled with mindless gore and violence the dark knight is certainly loud and violent but its not mindless it has depth and soul even the joker in an extraordinary creation by heath ledger is deeply human the natural petulance of christian bale makes his ego and alter ego the most fascinating and complex of all film superheroes part of the genius of this movie is that batman himself in screen time is not really the lead my attention was captivated by heath ledger and he determines and inspires the breathtaking atmosphere that envelopes gotham as well as us the aplomb of christopher nolan as a director is mind blowing and his secret i believe is his obvious respect for his audience what hes done is to elevate a popular genre into shakesperean proportions bravo","24 july 2008","10/10",2008-07-24,NA
284,"the dark knight (2008)","watch the imax version if you can","kosmasp","i had the pleasure to watch this movie in an imax theatre in london it advertises itself with the slogan biggest screen in the uk which was one of the greatest movie experiences i had in my life and it was my first movie in an imax theatre i can only recommend it for anyone who has the chance to watch it even if not the entire movie is shot for an imax theatre this still is able to blow someone away great visuals combined with a great story and superb actingthe movie could also have been called the joker but even with heath ledgers great performance this still is a batman movie and the dark knight is clear enough even without the batman in the title i simply loved the movie but i heard some complaints from some friends it seems that some might have a problem with the depiction of the characters i loved heath ledger but there are a few out there who would have wanted to see him even crazier or the plot threads especially what is done with the character of aaron eckhart although i can see why that might be a problem for fans of the comic books i still stand by my vote this is the best batman movie ever until hopefully nolan and bale make the next one","14 september 2008","10/10",2008-09-14,NA
285,"the dark knight (2008)","this town deserves a better class of criminal!","dseferaj","this movie is a work of art the finest sequel ever made i dont think we will see another movie like this for a long time heath ledgers joker is the best movie charachter i have ever seen by far avengers endgame is great but the dark knight is much better the best batman ever the best joker ever the best dc movie ever the best superhero movie ever ando for me the best movie ever","17 february 2021","10/10",2021-02-17,NA
286,"the dark knight (2008)","heath ledger's dark and brilliant swan song","filmquestint","i couldnt believe the dark knight could live up to the hype thats perhaps the biggest surprise the secret i believe is a stunning mature intelligent script that makes it the best superhero movie ever made as if that wasnt enough heath ledger he the newest of the tragic modern icons present us with a preview of something well never see a fearless extraordinary actor capable to fill up with humanity even the most grotesque of villains his performance is a master class fortunately christian bales batman is almost a supporting character bale is good but there is something around his mouth that stops him from being great the dark knight is visually stunning powerful and moving what else could anyone want","20 july 2008","10/10",2008-07-20,NA
287,"the dark knight (2008)","best superhero movie of all time","melwinbauer","warning spoilers","22 november 2021","10/10",2021-11-22,NA
288,"the dark knight (2008)","masterpiece","aegontheconqueror","it is just what you want for the best movie great story great acting thrilling twistjust watched joker in  i just has to come back and give dark knight a  and thanks to heath ledger for the exceptional performs","7 october 2019","8/10",2019-10-07,NA
289,"the dark knight (2008)","perfect balance between action and drama with an unforgettable villain","alsexgal","warning spoilers","2 october 2017","10/10",2017-10-02,NA
290,"the dark knight (2008)","surpasses ""begins"" in every aspect!!!","johnnymacbest","christopher nolans second bundle of joy the dark knight exceeded all  of my expectations with the success of s reboot of the batman  franchise they took what was already established and expanded it  amped it up and gave a deeper darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout christian bale delves more deeper into batman sworn to  fight evil and injustice though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents but with the  help of his trusted butlerally alfred played superbly by michael  cane grounds him gives him moral support and keeps him in check but  the real star of the show is heath ledger as batmans most deadly  enemy the joker i can honestly tell you that as good as jack  nicholson was in batman he is childs play compared to this joker  he is sadistic psychotic and downright scarier and psychologically  disturbing than the previous incarnation of the clown prince of crime  and ledger gives it his all to do him justice along with the original  cast comes some fresh faces such as aaron eckhart maggie gyllenhaal  and more i must say though i liked katie holmes gyllenhaal gives a  much better performance and is a far cry from the damselindistress  stereotype though theres a little of it thankfully thats common in  films bale and gyllenhall have much better chemistry this time around  more so than holmes even better the fight sequences are vastly  improved and feature more brutal and bone crushing combat than begins  in addition to new technology at batmans disposal  also worth mentioning is screenwriter jonathan nolan who gives the  film an added frosting to an already delicious cake  simply put the dark knight is totally more bad ass than begins the  action is great and the plot is more deeper and engrossing i applaud  christopher nolan christian bale and especially heath ledger who  sadly passed away earlier this year and all those aboard for believing  in mr nolans talents for this second installment although some may  feel a bit of melancholy over ledgers death but as a final note i  will say this sincerely from my heart remember heath ledger and honor  him in your minds and hearts not only for his performances but as a  human being and father to his daughter matilda  ledger may we issue him best wishes for his family and friends and his  daughter for years to come remember    honor him not only for this  role and past roles but as an incredible individual and talented  actor  rest in peace heath ledger ","7 july 2008","9/10",2008-07-07,NA
291,"the dark knight (2008)","the dark knight","u","confidently directed dark brooding and packed with impressive action sequences and a complex story the dark knight includes a careerdefining turn from heath ledger as well as other oscar worthy performances tdk remains not only the best batman movie but comic book movie ever created","12 february 2020","10/10",2020-02-12,NA
292,"the dark knight (2008)","the batman of our dreams! so much more than a comic book movie","smellslikecheese","warning spoilers","20 july 2008","9/10",2008-07-20,NA
293,"the dark knight (2008)","a batman of shakesperean proportions","littlemartinarocena","dark yes complex ambitious christopher nolan and his cowriter jonathan nolan deserve a standing ovation i dont usually go for loud movies filled with mindless gore and violence the dark knight is certainly loud and violent but its not mindless it has depth and soul even the joker in an extraordinary creation by heath ledger is deeply human the natural petulance of christian bale makes his ego and alter ego the most fascinating and complex of all film superheroes part of the genius of this movie is that batman himself in screen time is not really the lead my attention was captivated by heath ledger and he determines and inspires the breathtaking atmosphere that envelopes gotham as well as us the aplomb of christopher nolan as a director is mind blowing and his secret i believe is his obvious respect for his audience what hes done is to elevate a popular genre into shakesperean proportions bravo","24 july 2008","10/10",2008-07-24,NA
294,"the dark knight (2008)","watch the imax version if you can","kosmasp","i had the pleasure to watch this movie in an imax theatre in london it advertises itself with the slogan biggest screen in the uk which was one of the greatest movie experiences i had in my life and it was my first movie in an imax theatre i can only recommend it for anyone who has the chance to watch it even if not the entire movie is shot for an imax theatre this still is able to blow someone away great visuals combined with a great story and superb actingthe movie could also have been called the joker but even with heath ledgers great performance this still is a batman movie and the dark knight is clear enough even without the batman in the title i simply loved the movie but i heard some complaints from some friends it seems that some might have a problem with the depiction of the characters i loved heath ledger but there are a few out there who would have wanted to see him even crazier or the plot threads especially what is done with the character of aaron eckhart although i can see why that might be a problem for fans of the comic books i still stand by my vote this is the best batman movie ever until hopefully nolan and bale make the next one","14 september 2008","10/10",2008-09-14,NA
295,"the dark knight (2008)","this town deserves a better class of criminal!","dseferaj","this movie is a work of art the finest sequel ever made i dont think we will see another movie like this for a long time heath ledgers joker is the best movie charachter i have ever seen by far avengers endgame is great but the dark knight is much better the best batman ever the best joker ever the best dc movie ever the best superhero movie ever ando for me the best movie ever","17 february 2021","10/10",2021-02-17,NA
296,"the dark knight (2008)","heath ledger's dark and brilliant swan song","filmquestint","i couldnt believe the dark knight could live up to the hype thats perhaps the biggest surprise the secret i believe is a stunning mature intelligent script that makes it the best superhero movie ever made as if that wasnt enough heath ledger he the newest of the tragic modern icons present us with a preview of something well never see a fearless extraordinary actor capable to fill up with humanity even the most grotesque of villains his performance is a master class fortunately christian bales batman is almost a supporting character bale is good but there is something around his mouth that stops him from being great the dark knight is visually stunning powerful and moving what else could anyone want","20 july 2008","10/10",2008-07-20,NA
297,"the dark knight (2008)","best superhero movie of all time","melwinbauer","warning spoilers","22 november 2021","10/10",2021-11-22,NA
298,"the dark knight (2008)","masterpiece","aegontheconqueror","it is just what you want for the best movie great story great acting thrilling twistjust watched joker in  i just has to come back and give dark knight a  and thanks to heath ledger for the exceptional performs","7 october 2019","8/10",2019-10-07,NA
299,"the dark knight (2008)","perfect balance between action and drama with an unforgettable villain","alsexgal","warning spoilers","2 october 2017","10/10",2017-10-02,NA
300,"the dark knight (2008)","surpasses ""begins"" in every aspect!!!","johnnymacbest","christopher nolans second bundle of joy the dark knight exceeded all  of my expectations with the success of s reboot of the batman  franchise they took what was already established and expanded it  amped it up and gave a deeper darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout christian bale delves more deeper into batman sworn to  fight evil and injustice though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents but with the  help of his trusted butlerally alfred played superbly by michael  cane grounds him gives him moral support and keeps him in check but  the real star of the show is heath ledger as batmans most deadly  enemy the joker i can honestly tell you that as good as jack  nicholson was in batman he is childs play compared to this joker  he is sadistic psychotic and downright scarier and psychologically  disturbing than the previous incarnation of the clown prince of crime  and ledger gives it his all to do him justice along with the original  cast comes some fresh faces such as aaron eckhart maggie gyllenhaal  and more i must say though i liked katie holmes gyllenhaal gives a  much better performance and is a far cry from the damselindistress  stereotype though theres a little of it thankfully thats common in  films bale and gyllenhall have much better chemistry this time around  more so than holmes even better the fight sequences are vastly  improved and feature more brutal and bone crushing combat than begins  in addition to new technology at batmans disposal  also worth mentioning is screenwriter jonathan nolan who gives the  film an added frosting to an already delicious cake  simply put the dark knight is totally more bad ass than begins the  action is great and the plot is more deeper and engrossing i applaud  christopher nolan christian bale and especially heath ledger who  sadly passed away earlier this year and all those aboard for believing  in mr nolans talents for this second installment although some may  feel a bit of melancholy over ledgers death but as a final note i  will say this sincerely from my heart remember heath ledger and honor  him in your minds and hearts not only for his performances but as a  human being and father to his daughter matilda  ledger may we issue him best wishes for his family and friends and his  daughter for years to come remember    honor him not only for this  role and past roles but as an incredible individual and talented  actor  rest in peace heath ledger ","7 july 2008","9/10",2008-07-07,NA
301,"life is beautiful (1997)","love is beautiful...","xstal","emotional extremes abound this story takes you round and around elevating high then smashing you down your guiding light an endearing clownthe essence of all thats right thats wrong a fathers love for his wife and son to the thieves of liberty with power  and a gun the worst of man the world undone","20 december 2021","9/10",2021-12-20,NA
302,"life is beautiful (1997)","funny, entertaining, and amazingly intense and dramatic.","anonymousmaxine","i find it sad that so many people are so narrowminded that they will not watch a movie that is black and white or in this case is subtitled i feel sorry for people who refuse to watch a movie like life is beautiful just because it is a foreign film they have no idea what a beautifully acted and directed film this is and theyll never know what an amazing experience they are missing life is beautiful manages to walk the extremely thin line between humor fantasy and tragedy sure the film is clearly comedic but nevertheless it manages to very effectively communicate the tremendous losses suffered in the nazi concentration camps and has scenes at least as intense as any scene in schindlers list this is one of the best films that i have ever seen it manages to be so encompassing that you hardly notice the subtitles are even there i proudly cast my vote of ","27 march 2000","10/10",2000-03-27,NA
303,"life is beautiful (1997)","outstanding","monika","warning spoilers","3 january 2000","9/10",2000-01-03,NA
304,"life is beautiful (1997)","funny and disturbing","planktonrules","warning spoilers","19 july 2005","9/10",2005-07-19,NA
305,"life is beautiful (1997)","an excellent war movie!","danslenoir","this is one of those movies that have a lasting effect on you   after watching it i found that it has less to do with the holocaust and more to do with the human feelings and the beautiful relationship of a father and his son  the holocaust provides the ultimate context that brings and highlights the story and adds yet another deep dimension to the movie  no such piece of art has ever before combined laughter and tears of sadness in me before and that is the miracle of the movie  the realism of the movie is not its strong point but then again it is  not supposed to be this helps in bringing the audiences to a state of mind away from reality focusing on the feelings generated by forgetting about all external events and developments of the war  despite that the movie does not fail to point out an element of the nazi psychology demonstrated by the doctor who was obsessed with riddles  this portrayed the nazi state of mind if ever such an expression existed as a sick mentally disturbed state  life is really beautiful as you watch guidos relentless efforts to make a lovely exciting experience of the concentration camp to his son  you get exhausted just watching him going through his painful day and yet you smile as he speaks to his son and makes him laugh  one can go on forever  describing the creativity of this movie but one will not be able to capture all its beauty in writing","27 august 2020","9/10",2020-08-27,NA
306,"life is beautiful (1997)","a satire set in a concentration camp, tough a hit internationally, was thought by some critics to be in bad taste...","nazifighterdavid","roberto benignis vita e bella is in many ways similar to chaplins great dictator  both are comic attacks on fascism but the formers is the more successful  benigni initially accesses the emotions of his audience through simple comedy which is a pleasant mix of keaton and chaplin  romance ensues with his real life wife nicoletta braschi  the first half of this film has been seen by various critics as being inferior to the second but this is certainly not the case  in the first section we follow the delightful romance that will eventually lead to marriage and the creation of the wonderful giosue giorgio cantariniit is the first half where the audience can laugh the loudest and delight at the immense comedy talent of benigni  unlike so many films nowadays there is nothing crude or course his is simple innocent humour which is all the more effective  the way he ties together little strand in the film to create comedy elements shows a great writing ability and a mastery of timing when it comes to their execution on screen  various incidents related to the rise of antisemitism and fascism in italy show that there are sinister forces at work which come to the fore in the second segmentguido benigni moves events on from tuscany in  to the last year of the war in a concentration camp  in this period he and dora braschi have had their son giosue cantanarini  the five year old greatly reminds me of toto in cinema paradiso and plays an equally important role in his prospective film though in paradisos case it is at the beginning of the movie  the relationship between the two is very similar to that of jackie coogan and charlie chaplin though benigni unlike chaplin keeps the best of the comedy moments  guido attempts to keep from the boy the horrors of what is going on and this eventually manifests itself as a game where the aim is to score  points with the winner winning a real tank which of course appeals to the young boy  comic moments are still present that involving guidos translation of the rules of the camp is particularly notable but it becomes somewhat more difficult to laugh when we consider the gravity of what is going onthe emphasis begins shifts and we realise that this is a film about human spirit above all else  guido not only appeals to the audience due to his comedy and sheer pleasantness but also in the way that he loves his family and the measures that he will go to to protect themthis is certainly no schindlers list but it never pretends to be occasionally events seem a little contrived but this does seem to work in the films favour  however this film avoids the tendency of hollywood to go far over the top in emotional and credibility termsbenigni shines like a lantern throughout the picture showing that he is a talent not only in comedy terms that far outshines his peers  cantanari is a delight and braschi also plays her part well  there is even an appearance by the magnificent sevens horst buchholz as doctor lessing a man who events change for the worseplease dont let the fact that it to all but the italians is a foreign language film  the language itself adds a beauty of form to the film much as it did in the case of il postino  this has to be a certainty for the best foreign language film oscar though something tells me that it will be overlooked for other awards as it is italian and not a mainstream english language pictureplease see this film and make up your own mind  it is appealing in so many different ways that im sure that you will not be disappointed","4 september 2001","9/10",2001-09-04,NA
307,"life is beautiful (1997)","one of the best movies ever.","amiraberzi","i have never in my life seen a movie that so truly symbolizes its name and its message roberto benigni  the italian treasure house has probably given to his viewers his best the story the performances the entire theme of a person performing his duties as a husband as a father is very moving and inspiring life is beautiful as the name goes is about a jewish man who falls in love with a nonjewish lady marries her has a kid and who is then taken as a prisoner in a concentration camp along with his wife and kid but the way he protects his kid from the horrors of the genocide how he always tries to find ways to make his wife and kid smile and laugh is what makes the movie a must seeit is certainly one of the best movies that i have seen","29 august 2000","9/10",2000-08-29,NA
